City,City ID,Latitude,Longitude,temperature,humidity,cloudiness,wind speed
Kanniyākumāri,1268008,8.0833,77.5667,298.4,82,98,10.4
Barra Bonita,3470776,-22.4947,-48.5581,295.93,93,100,1.79
Mumford,2297810,5.2618,-0.759,299.43,86,47,4.78
Rafaela,3839479,-31.2503,-61.4867,298.03,40,0,0.89
Doha,290030,25.2867,51.5333,287.5,72,0,1.54
Yerofey Pavlovich,2012938,53.9667,121.9667,242.02,82,38,0.77
Dwārka,1272140,22.2394,68.9678,291.47,40,2,2.99
Calama,3897347,-22.4667,-68.9333,293.15,14,0,7.72
Krasnyy Chikoy,2012349,50.3643,108.7512,246.93,84,84,0.74
Caucayá,3671437,-0.1934,-74.7819,295.92,85,96,0.19
Hudeşti,675941,48.15,26.5,272.04,81,80,0.45
Irámuco,4004331,19.95,-100.9167,293.15,40,75,3.09
Bac Lieu,1591474,9.285,105.7244,294.18,74,38,2.24
Puerto del Rosario,2512186,28.5004,-13.8627,289.15,55,0,3.6
Shenjiamen,1795632,29.9576,122.298,282.36,69,21,3.35
Tokmak,691469,47.2514,35.7058,269.39,96,24,3.28
Orlik,1496073,52.5178,99.825,244.06,78,73,0.77
Fukuechō,1863997,32.6881,128.8419,280.15,93,40,0.51
Katsuura,2112309,35.1333,140.3,281.17,61,20,3.09
Värnamo,2664855,57.186,14.04,272.38,91,94,6.2
Rolla,4406282,37.9514,-91.7713,279.7,49,1,5.66
Daru,2098329,-9.0763,143.2092,301.77,78,100,2.6
Ukiah,5404476,39.1502,-123.2078,289.22,82,1,1.03
Mutare,884979,-18.9707,32.6709,291.99,97,100,2.17
Pemba,1028918,-12.974,40.5178,298.15,94,20,4.12
Basco,1726449,20.4487,121.9702,294.25,76,50,10.05
Matara,1235846,5.9485,80.5353,296.79,88,96,3.0
Nome,5870133,64.5011,-165.4064,265.15,93,90,3.6
Mīzan Teferī,330534,6.9833,35.5833,293.51,55,86,0.61
Zanjān,111453,36.6736,48.4787,277.1,65,67,2.89
Korla,1529376,41.7597,86.1469,265.97,81,41,3.4
Fomboni,921889,-12.28,43.7425,301.16,75,11,4.11
Havre-St-Pierre,5972291,50.2334,-63.5986,265.15,86,90,2.06
Newport,2641598,51.5877,-2.9984,282.54,91,100,1.34
Shushenskoye,1491953,53.325,91.9356,248.15,84,90,1.0
Straumen,3135728,63.8709,11.2999,261.17,85,0,3.09
Amga,2027786,60.8953,131.9608,230.33,76,76,0.57
Auki,2109701,-8.7676,160.7034,303.23,61,35,1.42
Trat,1605277,12.5,102.5,292.59,61,22,2.24
Samfya,899274,-11.3649,29.5565,292.29,92,100,2.09
Rio Grande,3451138,-32.035,-52.0986,293.15,70,0,0.89
Campbellton,6696258,48.0075,-66.6727,268.15,93,95,0.51
Businga,217637,3.3333,20.8833,295.18,35,84,0.9
Arrondissement de Lure,2997075,47.75,6.5,280.15,93,90,6.17
Miles City,5666176,46.4083,-105.8406,282.15,20,75,17.49
Biloela,2175819,-24.4167,150.5,301.66,41,0,4.6
Paita,3694112,-5.0892,-81.1144,298.15,65,0,8.23
Abéché,245785,13.8292,20.8324,292.03,23,0,3.64
Srednekolymsk,2121025,67.45,153.6833,243.25,87,100,2.71
Geraldton,2070998,-28.7667,114.6,300.15,32,0,7.72
Iqaluit,5983720,63.7506,-68.5145,248.15,70,20,2.06
Erzin,296852,36.9559,36.2,288.71,75,67,1.34
Kaseda-shirakame,1859964,31.4167,130.3167,275.15,100,20,2.57
Rock Sound,3571592,24.9,-76.2,297.27,80,1,4.35
Constitución,3893726,-35.3333,-72.4167,287.4,67,0,6.39
Bria,239899,6.5423,21.9863,292.93,28,36,1.96
Jurm,1139085,36.8648,70.8342,274.0,57,0,2.84
Yele,2331715,10.7323,13.5891,289.61,28,50,1.1
Letka,535639,59.6011,49.4232,245.37,88,32,2.28
Dingle,1714733,10.9995,122.6711,298.91,88,99,5.42
Marsh Harbour,3571913,26.5412,-77.0636,295.88,75,82,3.18
Port-Gentil,2396518,-0.7193,8.7815,298.15,94,20,1.03
Kabakovo,554692,54.5369,56.1517,253.15,77,75,3.0
Krasnosel'kup,1502073,65.7,82.4667,256.98,94,100,3.81
Wausau,5278120,44.9591,-89.6301,272.29,86,40,2.57
Los Llanos de Aridane,2514651,28.6585,-17.9182,287.62,67,90,4.12
Aberfeldy,2657820,56.62,-3.8645,273.53,93,100,0.89
Līsakovsk,1521315,52.5369,62.4936,244.6,87,13,1.78
Honningsvåg,779554,70.9821,25.9704,273.29,98,100,12.26
Sadon,525990,42.8518,44.0037,272.15,100,95,2.0
Gizo Government Station,2108857,-8.103,156.8419,302.83,69,87,5.18
Botro,2290985,7.8525,-5.3106,299.15,78,20,2.57
Dallas,4684904,32.7668,-96.7836,286.2,47,1,4.63
Tāndā,1255024,26.55,82.65,280.82,67,0,2.04
Togur,1489499,58.3631,82.8265,252.8,91,99,4.25
Puerto Baquerizo Moreno,3652758,-0.9,-89.6,299.15,89,20,5.66
Inhambane,1045114,-23.865,35.3833,298.46,88,0,2.33
High Level,5975004,58.5169,-117.136,273.15,64,75,5.14
Sīrjān,114259,29.452,55.6814,277.62,57,46,1.4
Kenora,5991056,49.8167,-94.4337,271.04,74,40,3.6
Batagay-Alyta,2027042,67.8006,130.4114,232.39,71,11,0.46
Srikakulam,1255647,18.3,83.9,293.44,91,78,2.1
Olafsvik,3414079,64.8945,-23.7142,278.18,82,79,6.65
Rome,5134295,43.2128,-75.4557,272.43,69,1,3.6
Manakara,1061605,-22.1333,48.0167,297.81,93,25,2.54
Staraya Mayna,489135,54.6,48.95,251.15,77,90,1.0
Mayuge,229292,0.4597,33.4803,293.67,86,100,0.97
Nautla,3522788,20.2167,-96.7833,289.36,73,57,3.25
Sibolga,1213855,1.7427,98.7792,297.64,67,98,1.94
San Luis,3837056,-33.295,-66.3356,295.73,61,52,4.19
Naviraí,3456368,-23.065,-54.1906,298.13,89,100,1.77
Kushmurun,1519924,52.4503,64.6311,245.54,84,0,1.78
Kenai,5866063,60.5544,-151.2583,271.4,86,90,1.54
Fort Morgan,5577158,40.2503,-103.8,285.15,35,1,12.35
Lingyuan,2036075,41.24,119.4011,259.86,91,31,1.69
General Pico,3855075,-35.6566,-63.7568,302.44,23,42,5.18
Kiunga,2093846,-6.1219,141.2906,298.15,92,100,0.33
Waddān,2209055,29.1614,16.139,282.03,60,4,3.07
Gorahun,2408683,7.4661,-11.2375,295.62,97,28,0.25
Boyolangu,1648082,-8.1181,111.8935,298.57,83,100,1.97
Tocopilla,3869716,-22.092,-70.1979,293.19,64,87,3.04
Östersund,2685750,63.1792,14.6357,259.15,85,90,2.57
Necochea,3430443,-38.5473,-58.7368,289.82,68,0,7.19
Areosa,2742765,41.7178,-8.8571,277.33,100,0,1.81
Biu,2346995,10.6129,12.1946,290.27,28,32,2.75
Abu Samrah,172515,35.3029,37.1841,285.13,74,53,6.5
College,5859699,64.8569,-147.8028,253.09,77,40,1.52
Maniitsoq,3421982,65.4167,-52.9,268.05,96,100,5.16
St. George's,3579925,12.0564,-61.7485,299.15,78,40,3.09
Tazmalt,2477537,36.3868,4.3989,278.79,73,0,1.05
Kavieng,2094342,-2.5744,150.7967,302.52,70,84,5.94
Yadrin,469809,55.9405,46.2062,252.53,90,100,6.23
Morwell,2156825,-38.2333,146.4,293.71,54,57,4.02
Yenagoa,2318123,4.9247,6.2642,297.55,90,2,1.85
Dalvik,2632287,65.9702,-18.5286,278.15,65,90,7.2
Salalah,286621,17.0151,54.0924,295.15,30,0,6.17
Ossora,2122389,59.2353,163.0719,251.52,88,99,1.52
Rossosh',501215,51.1209,38.5116,273.15,97,100,7.72
Ahipara,2194098,-35.1667,173.1667,296.54,56,2,2.29
Jaipur,1269515,26.9167,75.8167,284.15,62,0,1.03
Miraflores,3761194,19.2167,-98.8083,291.7,39,75,5.14
Batemans Bay,2176639,-35.7167,150.1833,298.98,80,6,3.58
Trelleborg,2667402,55.3751,13.1569,273.28,86,90,6.69
Emba,609924,48.8264,58.1442,254.58,88,77,6.25
Kabinda,215527,-6.1333,24.4833,292.73,93,94,0.67
Tønder,2611497,54.9331,8.8667,273.35,85,51,3.13
Shache,1280037,38.4167,77.2406,270.06,85,0,0.58
Belaya Gora,2126785,68.5333,146.4167,234.75,82,99,1.39
Poum,2138555,-20.2333,164.0167,300.85,82,100,7.12
Kunigal,1265591,13.0222,77.0267,290.15,100,20,2.65
Ardakān,143073,32.31,54.0175,273.15,29,0,1.03
Gao,2457161,16.6362,1.637,294.85,20,0,4.73
Garoowe,58933,8.4054,48.4845,291.28,68,3,4.43
Lugovoy,1521293,42.9472,72.7644,266.23,93,84,2.62
Challans,3027513,46.8436,-1.8749,281.45,93,90,3.6
Matagami,6067747,49.7502,-77.6328,271.15,100,90,1.54
Pasir Gudang,1880252,1.4584,103.8805,297.43,83,75,0.51
Ucluelet,6171633,48.9329,-125.5528,281.72,71,75,2.06
Juneau,5554072,58.3019,-134.4197,273.75,81,90,5.14
Huangpi,1807308,30.8845,114.3779,278.15,60,28,2.0
Jilin,2036500,43.0,126.0,254.78,86,0,1.01
Fécamp,3018794,49.7579,0.3746,281.66,93,90,7.72
Commerce,5338929,34.0006,-118.1598,294.28,23,1,2.06
Conceição da Barra,3465769,-18.5933,-39.7322,297.92,82,0,2.89
Riberalta,3906466,-10.9833,-66.1,297.15,100,90,1.23
Honiara,2108502,-9.4333,159.95,303.06,63,86,3.38
Manosque,2996180,43.8288,5.7869,281.48,79,2,2.24
Hualmay,3939761,-11.0964,-77.6139,294.86,85,98,4.36
East London,1006984,-33.0153,27.9116,295.93,91,100,6.46
Eisenberg,2931521,50.9667,11.9,272.96,66,73,7.52
Bad Waldsee,2953320,47.9167,9.7667,274.72,93,90,3.09
Erdőkertes,3053253,47.6726,19.3079,273.56,80,0,3.6
Lüderitz,3355672,-26.6481,15.1594,291.27,89,18,2.93
Potrero del Llano,3521207,21.05,-97.6833,291.15,72,90,3.09
Beloha,1067565,-25.1667,45.05,296.43,95,35,3.17
